CONCEPT				POLARITY		INTENSITY
booby_hatch			negative		-0.62
booger				negative		-0.87
book				negative		-0.08
book_appointment		negative		-0.08
book_bible			positive		0.072
book_binding			positive		0.74
book_content			positive		0.125
book_end			positive		0.125
book_flight			positive		0.882
book_genre			positive		0.046
book_holiday			positive		0.741
book_hotel			positive		0.084
book_hotel_room			positive		0.788
book_library			positive		0.943
book_magazine			positive		0.03
book_newspaper			positive		0.069
book_of_leviticus		positive		0.868
book_office			positive		0.027
book_page			positive		0.069
book_paper			positive		0.055
book_part			positive		0.049
book_poetry			positive		0.894
book_read			positive		0.725
book_relate			positive		0.754
book_reservation		negative		-0.10
book_review			positive		0.822
book_store			positive		0.084
book_story			positive		0.786
book_subject			positive		0.725
book_ticket			negative		-0.03
book_token			positive		0.818
book_worm			negative		-0.87
book_write			positive		0.069
bookbinder			positive		0.863
bookes				negative		-0.82
bookie				negative		-0.74
booking_fee			positive		0.083
booking_flight			positive		0.097
bookish				positive		0.819
bookishness			positive		0.795
bookkeeper			positive		0.056
booklet				positive		0.049
bookmaker			negative		-0.74
bookmark			positive		0.754
bookmark_bar			negative		-0.08
bookshop			positive		0.069
bookstore			positive		0.054
bookworkers			positive		0.863
boolean				positive		0.854
boolean_function		negative		-0.93
boolean_search			positive		0.03
boolean_value			negative		-0.72
boom				positive		0.067
boom_bap			positive		0.836
boomerang			negative		-0.72
booming_bass			positive		0.836
booming_economy			positive		0.12
boon				positive		0.73
boondoggle			positive		0.357
boor				negative		-0.84
boorish				negative		-0.81
boorish_behavior		negative		-0.82
boorishness			negative		-0.81
boost				positive		0.752
boost_competitiveness		positive		0.752
boost_economic_growth		positive		0.752
boost_export			positive		0.752
boost_sale			positive		0.752
booster				negative		-0.79
booster_pack			positive		0.133
booster_rocket			positive		0.073
boosting_demand			positive		0.752
boot				positive		0.207
boot_disk			positive		0.943
boot_licker			negative		-0.89
boot_out			negative		-0.74
boot_up_computer		positive		0.087
bootable			positive		0.943
booted				negative		-0.85
booted_eagle			positive		0.751
bootee				negative		-0.71
bootie				negative		-0.71
bootlace			negative		-0.71
bootlegger			positive		0.75
bootless			negative		-0.73
bootlick			negative		-0.13
bootlicker			negative		-0.59
bootmaker			positive		0.056
booty				positive		0.065
booty_shaking			negative		-0.86
boovi				positive		0.91
booze				positive		0.061
boozer				positive		0.701
boozing				positive		0.809
boozy				positive		0.943
bop				negative		-0.91
bopara				negative		-0.1
boppeus				positive		0.415
borac				positive		0.91
borac_aak			positive		0.91
borage				positive		0.1
borage_oil			positive		0.603
borate_mineral			negative		-0.05
borax_smith			negative		-0.75
bordeaux_wine			positive		0.164
bordello			negative		-0.88
border				positive		0.033
border_collie			positive		0.049
border_demarcation		positive		0.026
border_dispute			positive		0.026
borderer			negative		-0.90
bordering_afghanistan		negative		-0.05
borderland			positive		0.823
borderline_diabetic		negative		-0.81
borderline_personality		negative		-0.92
boreal				negative		-0.04
boreal_forest			negative		-0.04
boreal_region			negative		-0.04
borecole			negative		-0.74
borecrucifer			negative		-0.75
bored				negative		-0.85
bored_person			negative		-0.89
boredom				negative		-0.33
borgesian			positive		0.085
boring				negative		-0.06
boring_activity			negative		-0.89
boring_movie			negative		-0.89
boring_person			negative		-0.14
boring_show			negative		-0.89
boring_talk			negative		-0.80
born				positive		0.706
born_april			positive		0.706
born_august			positive		0.706
born_circa			positive		0.706
born_december			positive		0.706
born_february			positive		0.706
born_january			positive		0.706
born_july			positive		0.706
born_june			positive		0.706
born_march			positive		0.706
born_november			positive		0.706
born_october			positive		0.706
born_ready			positive		0.121
born_september			positive		0.706
borneense			negative		-0.66
borneol				negative		-0.73
boron				negative		-0.05
boron_carbide			positive		0.803
boron_trifluoride		negative		-0.01
borophagus			positive		0.619
borrelia_burgdorferi		positive		0.784
borrow				positive		0.885
borrow_book			positive		0.043
borrow_car			positive		0.051
borrow_cheaply			positive		0.885
borrow_fund			positive		0.885
borrow_large_amount		positive		0.885
borrow_money			negative		-0.04
borrowed			negative		-0.87
borrowed_money			positive		0.885
borrowing			negative		-0.86
borrowing_money			positive		0.885
bos				positive		0.738
boschniakia			negative		-0.55
bose_companion			positive		0.039
bosky				negative		-0.71
bosom				positive		0.687
bosomy				negative		-0.78
bosque_del_apache		positive		0.096
boss				positive		0.075
boss_around			negative		-0.87
bossy				negative		-0.78
boston_acoustic			positive		0.028
boston_beaneaters		negative		-0.67
boston_berklee_college		positive		0.937
boston_bomber			negative		-0.77
boston_harbor			negative		-0.03
boston_red_cap			negative		-0.67
boston_red_stocking		negative		-0.67
bot				negative		-0.87
botany_greenhouse		negative		-0.05
botch				negative		-0.84
botch_up			negative		-0.89
botched				negative		-0.77
bother				negative		-0.47
botheration			negative		-0.77
bothered			negative		-0.81
bothering			negative		-0.29
bothersome			negative		-0.82
bothersome_insect		negative		-0.14
botrytis_bunch_rot		negative		-0.71
bottle				negative		-0.44
bottle_blond			negative		-0.65
bottle_blonde			positive		0.027
bottle_cap			positive		0.084
bottle_opener			positive		0.084
bottle_shop			positive		0.837
bottle_soda			negative		-0.02
bottle_top			positive		0.683
bottle_vodka			positive		0.858
bottle_water			positive		0.909
bottle_wine			positive		0.911
bottle_without_cap		positive		0.094
bottlebrush_buckeye		negative		-0.60
bottled_beer			positive		0.037
bottled_beverage		positive		0.853
bottled_drink			positive		0.685
bottled_drinking_water		positive		0.685
bottled_mineral_water		positive		0.685
bottled_soft_drink		positive		0.685
bottled_spring			positive		0.685
bottled_water			positive		0.685
bottled_water_brand		positive		0.685
bottleneck			negative		-0.95
bottlenose			negative		-0.10
bottlenose_dolphin		negative		-0.10
bottling_plant			positive		0.685
bottom				positive		0.798
bottom-up			positive		0.832
bottom_dwelling_organism	positive		0.754
bottom_edge			positive		0.081
bottom_fermentation		positive		0.62
bottom_half			positive		0.039
bottom_line			positive		0.18
bottom_lip			negative		-0.03
bottom_ocean			positive		0.068
bottom_out			negative		-0.72
bottom_rot_fungus		negative		-0.84
bottom_saucepan			negative		-0.27
bottom_sea			negative		-0.02
bottom_sediment			positive		0.754
bottom_shoes			negative		-0.04
bottomless			positive		0.971
bottomless_cup			positive		0.826
bottomline			positive		0.18
botulism			negative		-0.64
boudoir				positive		0.762
boudouard_reaction		negative		-0.71
bouffant_hair			positive		0.996
bough				negative		-0.31
bouillabaisse			positive		0.881
boulder				positive		0.044
boulder_strewn			negative		-0.80
boulevard			negative		-0.03
bounce				positive		0.871
bounce_back			positive		0.871
bounce_ball			negative		-0.07
bounce_check			negative		-0.14
bounce_off			positive		0.871
bounce_up_down			positive		0.927
bounced				positive		0.897
bounced_back			negative		-0.85
bounced_check			positive		0.695
bounced_mail			positive		0.062
bounced_message			positive		0.062
bouncer				negative		-0.94
bounces_off			positive		0.871
bouncing			positive		0.658
bouncing_ball			positive		0.871
bouncing_check			positive		0.695
bouncing_off			positive		0.871
bouncy				positive		0.8
bouncy_castle			positive		0.082
bouncy_seat			positive		0.763
bound				negative		-0.82
boundary			positive		0.036
boundary_condition		negative		-0.76
boundary_rope			negative		-0.1
bounded				positive		0.909
bounden				positive		0.744
bounder				negative		-0.77
bounding_box			positive		0.857
bounding_rectangle		positive		0.857
boundless			positive		0.159
boundless_energy		positive		0.837
boundless_enthusiasm		positive		0.887
boundless_ocean			positive		0.903
boundlessness			positive		0.815
bountiful			positive		0.792
bountifully			positive		0.849
bounty				positive		0.087
bounty_hunter			negative		-0.72
bouquet				positive		0.057
bourbon				positive		0.833
bourbon_whiskey			positive		0.75
bourboulenc			positive		0.742
bourgeois			positive		0.082
bourgeois_liberalism		positive		0.767
bourgeois_morality		positive		0.767
bourgeoisie			negative		-0.63
bourre				positive		0.707
bout				positive		0.853
bout_via_tko			positive		0.873
boutique			positive		0.734
boutique_hotel			positive		0.879
boutique_label			positive		0.095
boutique_resort			positive		0.879
boutique_shop			positive		0.07
boutonneuse_fever		negative		-0.76
bouyancy			positive		0.345
bovatec				negative		-0.85
bovine				positive		0.081
bovine_serum_albumin		positive		0.035
bow				positive		0.904
bow_leg				negative		-0.67
bow_shock			negative		-0.75
bow_string			negative		-0.04
bowdlerization			negative		-0.90
bowdlerize			negative		-0.90
bowdoin_orient			negative		-0.71
bowed_down			negative		-0.89
bowed_head			negative		-0.83
bowed_leg			negative		-0.07
bowel				negative		-0.08
bowel_content			negative		-0.75
bowel_control			negative		-0.05
bowel_function			negative		-0.08
bowel_habit			negative		-0.80
bowel_incontinence		negative		-0.74
bowel_movement			negative		-0.80
bowel_movement_per		negative		-0.74
bowel_obstruction		negative		-0.08
bowel_perforation		negative		-0.70
bowel_resection			negative		-0.08
bowel_wall			negative		-0.08
bowelless			positive		0.838
bowery				negative		-0.65
bowhead				negative		-0.07
bowhead_whale			negative		-0.07
bowhunter			negative		-0.07
bowie_knife			positive		0.827
bowing				positive		0.762
bowing_down			negative		-0.89
bowl				negative		-0.59
bowl_alley			positive		0.048
bowl_alley_center		positive		0.049
bowler_hat			positive		0.063
bowling				positive		0.048
bowling_ball			positive		0.871
bowling_center			positive		0.833
bowling_pin			positive		0.85
bowling_shoes			positive		0.031
bowling_spell			negative		-0.02
bowsprit			positive		0.904
bowstring			positive		0.904
box				positive		0.037
box_cereal			positive		0.883
box_cutter			positive		0.823
box_ear				negative		-0.9
box_lunch			positive		0.078
box_match			positive		0.849
box_office			negative		-0.07
box_office_hit			positive		0.69
box_office_receipt		negative		-0.72
box_office_revenue		negative		-0.72
box_office_taking		negative		-0.72
box_retailer			positive		0.955
box_ring			negative		-0.81
box_tissue			negative		-0.02
boxed_lunch			positive		0.078
boxed_set			positive		0.07
boxer				positive		0.906
boxer_shorts			negative		-0.06
boxing				positive		0.846
boxing_glove			positive		0.907
boxing_match			negative		-0.07
boxset				positive		0.07
boxsets				positive		0.07
boxy				negative		-0.91
boy				positive		0.598
boy_brian_wilson		negative		-0.77
boy_girl			positive		0.037
boy_next_door			negative		-0.15
boy_racer			negative		-0.06
boy_scout			positive		0.763
boy_scout_camp			positive		0.098
boy_toy				negative		-0.15
boy_varsity_soccer		positive		0.095
boybands			negative		-0.95
boycott				negative		-0.81
boyfriend			positive		0.058
boyfriend_jeans			negative		-0.03
boyhood				negative		-0.84
boyish				positive		0.821
boyish_charm			positive		0.728
boyish_face			negative		-0.77
boyishness			negative		-0.71
boyle				negative		-0.76
boys				positive		0.891
bpm_beat_per			positive		0.093
br_er_bear			positive		0.76
br_er_fox			positive		0.76
br_er_rabbit			positive		0.76
bra				positive		0.098
bra_strap			negative		-0.06
braathens			positive		0.797
braathens_helikopter		positive		0.797
braathens_rederi		positive		0.797
braathens_safe			positive		0.797
brabant				negative		-0.75
brabham_straight		positive		0.943
brace				positive		0.763
bracelet			negative		-0.83
bracer				negative		-0.67
brachial_plexus			negative		-0.25
brachidontes			negative		-0.07
brachioplasty			positive		0.788
brachioradialis			negative		-0.25
brachiosaurs			positive		0.859
brachycephaly			negative		-0.90
brachydactyly			positive		0.637
brachyuran			negative		-0.76
bracingly			positive		0.718
bracken_fern			negative		-0.79
bracket				positive		0.795
bracket_fungi			negative		-0.55
bracket_fungus			negative		-0.55
bracket_repechage		negative		-0.84
bracket_taxpayer		positive		0.795
brackish			negative		-0.82
braconid_wasp			negative		-0.04
bract				negative		-0.05
bracteole			negative		-0.05
brad_ausmus			positive		0.747
brad_faxon			negative		-0.75
brad_garlinghouse		negative		-0.67
bradford_washburn		positive		0.07
bradycardia			negative		-0.77
bradyzoites			positive		0.719
brag				negative		-0.73
bragelonne			negative		-0.84
braggadocio			negative		-0.62
braggart			negative		-0.82
bragger				negative		-0.76
bragging			negative		-0.81
brahma_vihara			negative		-0.86
brahman_atman			positive		0.75
brahmo				negative		-0.74
brahmo_leader			negative		-0.74
brahmo_samaj			negative		-0.74
braid				negative		-0.04
braided_channel			positive		0.823
braided_hair			negative		-0.04
braided_monoidal_category	negative		-0.04
braille				negative		-0.08
brain				positive		0.899
brain-washing			negative		-0.88
brain_activity			positive		0.883
brain_atrophy			negative		-0.84
brain_cancer			negative		-0.88
brain_cell			positive		0.899
brain_circuit			positive		0.899
brain_circuitry			positive		0.899
brain_contusion			negative		-0.07
brain_corpus_callosum		positive		0.039
brain_cortex			positive		0.899
brain_damage			negative		-0.10
brain_disease			negative		-0.76
brain_disorder			negative		-0.79
brain_dysfunction		negative		-0.84
brain_failure			negative		-0.64
brain_fever			negative		-0.76
brain_function			positive		0.066
brain_hemorrhage		negative		-0.07
brain_injuries			negative		-0.07
brain_injury			negative		-0.84
brain_injury_rehabilitation	positive		0.715
brain_interprets		positive		0.096
brain_lesion			negative		-0.88
brain_malformation		negative		-0.51
brain_neuron			positive		0.899
brain_pathology			negative		-0.84
brain_region			positive		0.899
brain_stem			positive		0.899
brain_storm			positive		0.931
brain_teaser			positive		0.943
brain_tissue			positive		0.899
brain_trauma			negative		-0.07
brain_trust			negative		-0.73
brain_tumor			negative		-0.75
braincase			positive		0.034
brainchild			negative		-0.60
braine_le_comte			negative		-0.75
brainfart			negative		-0.77
brainless			negative		-0.88
brainlessly			negative		-0.89
brainstem_nucleus		positive		0.736
brainstorm			positive		0.082
brainstorm_idea			positive		0.125
brainstormed_idea		positive		0.125
brainstorming_idea		positive		0.125
brainwash			negative		-0.94
brainwave			positive		0.864
braise				negative		-0.83
braised_cabbage			positive		0.038
braised_short_rib		negative		-0.05
brajira				negative		-0.78
brake				positive		0.951
brake_failure			negative		-0.73
brake_lever			positive		0.036
brake_lining			positive		0.072
brake_pedal			positive		0.962
braking_force			negative		-0.11
braky				negative		-0.71
bramble				negative		-0.78
brambly				negative		-0.71
bran_cereal			positive		0.083
bran_flake			positive		0.155
bran_muffin			negative		-0.91
branch				positive		0.049
branch_library			positive		0.071
branch_out			negative		-0.07
branched_chain			negative		-0.65
branching			negative		-0.99
branching_ax			negative		-0.73
branching_stem			negative		-0.67
branching_structure		negative		-0.71
brand				positive		0.12
brand_advertiser		positive		0.826
brand_jeans			negative		-0.71
brand_loyalty			positive		0.688
brand_marketer			positive		0.826
branded_apparel			negative		-0.61
branded_entertainment		positive		0.841
branded_footwear		negative		-0.61
branded_product			positive		0.23
brandon_soderberg		positive		0.044
brandy				positive		0.885
bransdicke_theory		positive		0.802
brash				negative		-0.94
brashness			negative		-0.80
brass				positive		0.89
brass_bell			positive		0.749
brass_button			negative		-0.67
brass_instrument		positive		0.931
brass_nail			positive		0.05
brass_plaque			positive		0.099
brass_quintet			positive		0.628
brass_rat			positive		0.085
brassbound			negative		-0.69
brasserie			positive		0.036
brassica			negative		-0.74
brassica_napu			positive		0.756
brassicae			negative		-0.04
brassy				positive		0.831
brat				negative		-0.10
brattish			positive		0.643
bratty				positive		0.643
bratuku				positive		0.947
bratwurst			positive		0.94
bratz_kidz			positive		0.889
bravado				negative		-0.87
brave				positive		0.917
brave_deed			positive		0.807
brave_enough			positive		0.761
brave_men			positive		0.807
brave_out			positive		0.293
brave_pitcher			negative		-0.86
bravely				positive		0.858
braveness			negative		-0.89
bravery				positive		0.835
bravest				positive		0.283
bravura				positive		0.689
brawl				positive		0.847
brawl_broke_out			negative		-0.62
brawler				negative		-0.92
brawny				positive		0.823
braxton_hick_contraction	negative		-0.80
bray_curtis			negative		-0.79
brazen				negative		-0.94
brazenly			negative		-0.76
brazier				positive		0.827
brazilian_amazon		negative		-0.05
brazilian_capoeira		negative		-0.05
brazilian_carnival		negative		-0.05
brazilian_jiu_jitsu_black	positive		0.068
brazilian_martial_art		negative		-0.05
brazilian_politician		positive		0.901
breaair				negative		-0.07
breach				negative		-0.84
breach_of_contract		negative		-0.13
breach_of_trust			negative		-0.73
breach_of_warranty		negative		-0.73
breaching_bail_condition	positive		0.052
bread				positive		0.909
bread-like			negative		-0.89
bread_crumb			negative		-0.03
bread_flour			positive		0.047
bread_knife			negative		-0.74
bread_roll			positive		0.773
bread_sauce			positive		0.047
bread_wheat			positive		0.058
breadbox			positive		0.046
breadcrumb_mixture		negative		-0.78
breaded_chicken			negative		-0.97
breadeeply			negative		-0.87
breadstick			positive		0.072
breadstuff			positive		0.617
breadth				positive		0.051
breafast			negative		-0.84
breahard			negative		-0.85
breaheavily			negative		-0.73
break				negative		-0.03
break_ankle			negative		-0.89
break_apart			negative		-0.01
break_apparatus			negative		-0.69
break_arm			negative		-0.43
break_arrow			negative		-0.87
break_bad			negative		-0.15
break_bone			negative		-0.46
break_chair			positive		0.875
break_door			negative		-0.93
break_dormancy			negative		-0.67
break_down			negative		-0.07
break_easily			negative		-0.80
break_fingernail		negative		-0.09
break_free			positive		0.326
break_glass			negative		-0.01
break_half			negative		-0.07
break_in			negative		-0.73
break_instrument		negative		-0.07
break_into_house		negative		-0.93
break_law			negative		-0.34
break_leg			negative		-0.05
break_mirror			negative		-0.93
break_neck			negative		-0.92
break_record			positive		0.762
break_rule			negative		-0.93
break_silence			positive		0.022
break_tooth			negative		-0.33
break_up			negative		-0.85
break_window			negative		-0.93
break_window_shop		negative		-0.93
break_work			positive		0.928
breakable			negative		-0.09
breakage			negative		-0.70
breakaway_faction		negative		-0.80
breakbeats			positive		0.836
breakdown			negative		-0.87
breakfast			positive		0.867
breakfast_bed			positive		0.121
breakfast_buffet		positive		0.867
breakfast_burrito		positive		0.072
breakfast_cereal		positive		0.083
breakfast_food			positive		0.856
breakfast_sandwich		positive		0.072
breaking_apart			negative		-0.01
breaking_away			negative		-0.72
breaking_loose			negative		-0.28
breaking_news			negative		-0.09
breakneck			negative		-0.80
breakneck_pace			positive		0.107
breakout			negative		-0.91
breakout_box			positive		0.028
breakout_hit			positive		0.69
breakout_role			positive		0.852
breaks_apart			negative		-0.08
breakstone			negative		-0.73
breakthrough			positive		0.658
breakthrough_technology		positive		0.086
breakup				positive		0.849
breakwater			negative		-0.89
breaout				negative		-0.02
breasigh_relief			negative		-0.10
breast				negative		-0.67
breast-feeding			positive		0.793
breast_augmentation		positive		0.788
breast_bone			negative		-0.67
breast_cancer			negative		-0.88
breast_enlargement		positive		0.788
breast_feather			positive		0.05
breast_feeding			positive		0.763
breast_infant_feeding		negative		-0.74
breast_lift			positive		0.788
breast_lump			negative		-0.88
breast_plate			positive		0.751
breast_pocket			negative		-0.87
breast_reconstruction		positive		0.633
breast_reconstruction_surgery	negative		-0.88
breast_reduction		positive		0.788
breast_surgeon			negative		-0.88
breast_surgery			positive		0.633
breast_tissue			negative		-0.67
breastfeed			positive		0.905
breastfeeding_jaundice		negative		-0.82
breastplate			negative		-0.67
breath				positive		0.893
breath_alcohol			positive		0.829
breath_difficulty		negative		-0.89
breath_freshener		positive		0.903
breath_heavily			negative		-0.86
breath_mint			positive		0.903
breath_of_fresh_air		positive		0.74
breath_sigh_relief		positive		0.068
breath_sound			positive		0.793
breathability			positive		0.794
breathable			positive		0.946
breathe				positive		0.764
breathe_deeply			positive		0.775
breathe_fresh			positive		0.786
breathed			negative		-0.83
breathes_fire			negative		-0.28
breathiness			negative		-0.80
breathing			positive		0.778
breathing_deeply		positive		0.775
breathing_difficulty		negative		-0.11
breathing_exercise		positive		0.93
breathing_mask			positive		0.629
breathing_masks			positive		0.629
breathing_problem		negative		-0.89
breathing_room			negative		-0.66
breathing_sigh			negative		-0.11
breathing_space			positive		0.923
breathing_technique		positive		0.93
breathless			negative		-0.86
breathlessly			negative		-0.32
breathlessness			negative		-0.04
breathtaking			positive		0.827
breathtaking_scenery		positive		0.861
breathtaking_view		positive		0.087
breathtakingly			positive		0.824
breathtakingly_beautiful	positive		0.793
breathy				positive		0.972
breathy_vocal			positive		0.8
breaunderwater			negative		-0.73
breech				negative		-0.67
breech_buoy			positive		0.032
breechcloth			positive		0.899
breed				negative		-0.84
breeder_cup_distaff		negative		-0.78
breeder_cup_handicap		negative		-0.78
breeder_cup_juvenile		negative		-0.78
breeder_cup_sprint		negative		-0.78
breeding			positive		0.616
breeding_bird			positive		0.031
breeding_cattle			positive		0.683
breeding_giant_panda		negative		-0.83
breeding_ground			negative		-0.68
breeks				negative		-0.59
breeze				positive		0.911
breeze_block			positive		0.05
breeziness			negative		-0.26
breezy				positive		0.923
brekkie				positive		0.867
bremsstrahlung			positive		0.07
bren_carrier			positive		0.148
bren_gun			negative		-0.76
brendan_benson			positive		0.195
brenger_saunire			negative		-0.76
brennan				positive		0.733
brennan_carley			positive		0.044
brenner_railway			positive		0.783
brent_bean			negative		-0.69
brent_kite			positive		0.784
brent_todd			positive		0.923
brenton_lawrence		positive		0.784
brestyan			positive		0.865
bret_saberhagen			positive		0.075
breton_saint			positive		0.113
brett_stewart			positive		0.784
bretzwil			negative		-0.86
brevity				positive		0.813
brew				positive		0.037
brew_coffee			positive		0.826
brewed_beer			positive		0.037
brewed_coffee			positive		0.826
brewery				positive		0.024
brewing_coffee			positive		0.826
brex				negative		-0.83
brexit				negative		-0.85
brian				negative		-0.89
brian_bosma			positive		0.039
brian_mcandrews			negative		-0.67
brian_scalabrine		positive		0.701
brian_sewell			negative		-0.71
briar				negative		-0.78
briar_rose			negative		-0.68
briars				negative		-0.78
briary				negative		-0.73
bribe				negative		-0.87
bribe_paid			negative		-0.87
bribe_payment			negative		-0.87
bribe_police			negative		-0.87
bribe_teacher			negative		-0.03
bribery				negative		-0.87
bribery_investigation		positive		0.825
bribery_probe			positive		0.825
bribery_scheme			negative		-0.87
brick				positive		0.729
brick_arch			positive		0.047
brick_exterior			positive		0.147
brick_faade			positive		0.147
brick_facade			positive		0.135
brick_fireplace			negative		-0.03
brick_kiln			negative		-0.20
brick_kiln_worker		negative		-0.20
brick_ranch			positive		0.069
brick_structure			positive		0.135
bricklayer			positive		0.798
bricklaying			positive		0.803
brickwork			negative		-0.74
bridal_chamber			negative		-0.65
bridal_gown			negative		-0.62
bride				positive		0.053
bride_groom			positive		0.053
bride_groomsmaid		positive		0.048
bridegroom			positive		0.725
bridesmaid			positive		0.744
bridge				positive		0.069
bridge_crossing			positive		0.786
bridge_difference		negative		-0.74
bridge_gap			positive		0.867
bridge_river			positive		0.045
bridge_stream			positive		0.042
bridgework			negative		-0.76
bridging_loan			positive		0.885
bridle				positive		0.071
brief				positive		0.089
brief_affair			positive		0.766
brief_discussion		positive		0.082
brief_intermission		positive		0.904
brief_introduction		positive		0.664
brief_reunion			positive		0.063
brief_shakedown			positive		0.781
briefcase			positive		0.084
briefing_note			positive		0.091
briefing_paper			positive		0.091
briefly				negative		-0.93
briefly_describe		positive		0.76
briefly_discuss			positive		0.76
briery				negative		-0.73
brig_hm				negative		-0.08
brig_sloop			negative		-0.08
brigade				negative		-0.09
brigade_headquarters		negative		-0.09
brigadier			positive		0.757
brigadier_general		positive		0.824
brigandage			negative		-0.90
brigandine			negative		-0.67
brighella			positive		0.76
bright				positive		0.914
bright_blue			negative		-0.20
bright_blue_eye			negative		-0.77
bright_blue_sky			positive		0.058
bright_color			positive		0.825
bright_day			positive		0.109
bright_flash			negative		-0.04
bright_flower			positive		0.655
bright_fortnight		positive		0.075
bright_glare			positive		0.934
bright_glow			negative		-0.04
bright_green			negative		-0.94
bright_green_foliage		negative		-0.94
bright_hue			positive		0.754
bright_light			positive		0.037
bright_moonlight		positive		0.067
bright_orange_red		negative		-0.94
bright_petal			positive		0.028
bright_ray			positive		0.638
bright_red			positive		0.022
bright_red_berry		positive		0.024
bright_red_blood		negative		-0.80
bright_red_flower		positive		0.071
bright_red_hair			positive		0.846
bright_red_lipstick		positive		0.996
bright_scarlet			positive		0.076
bright_sky			positive		0.889
bright_sunlight			positive		0.934
bright_sunshine			positive		0.093
bright_yellow			positive		0.071
brightcove			positive		0.826
brighten			positive		0.921
brighten_up			positive		0.772
brighter_future			positive		0.837
brightest_jewel			negative		-0.71
brightest_star			positive		0.831
brightest_young			positive		0.114
brightley			positive		0.121
brightly			positive		0.638
brightness			positive		0.921
brightness_level		positive		0.761
brihadaranyaka_upanishad	positive		0.75
brill_content			negative		-0.67
brillat_savarin			positive		0.881
brilliance			positive		0.859
brilliancy			positive		0.404
brilliant			positive		0.92
brilliant_blue_sky		positive		0.058
brilliant_classic		positive		0.637
brilliant_crimson		negative		-0.65
brilliant_fireball		negative		-0.04
brilliant_orange		negative		-0.94
brilliant_scarlet		negative		-0.94
brilliantly			positive		0.357
brilliantly_capture		negative		-0.79
brilliantness			positive		0.862
brim				positive		0.071
brimless			negative		-0.81
brimmed				negative		-0.82
brimmed_hat			positive		0.063
brimside			negative		-0.98
brine				positive		0.048
bring				positive		0.121
bring_a_lot_of_money		positive		0.853
bring_around			positive		0.651
bring_back_home			positive		0.817
bring_bad_luck			negative		-0.17
bring_book			negative		-0.84
bring_cash			positive		0.874
bring_dishonor			negative		-0.91
bring_dog			negative		-0.03
bring_food			positive		0.77
bring_forth			positive		0.792
bring_friend			negative		-0.84
bring_gift			positive		0.853
bring_good_luck			negative		-0.17
bring_happiness			positive		0.823
bring_home			positive		0.842
bring_home_bacon		positive		0.819
bring_joy			negative		-0.10
bring_money			positive		0.874
bring_off			positive		0.792
bring_out			positive		0.724
bring_present			positive		0.072
bring_together			positive		0.113
bring_up			positive		0.169
bring_wallet			positive		0.889
bringeth			negative		-0.77
bringing_forth			positive		0.792
bringing_together		positive		0.646
bringing_up			positive		0.706
brings_good_luck		negative		-0.17
brinjal				positive		0.914
brink				negative		-0.9
brinkmanship			negative		-0.80
briny				negative		-0.78
brio				positive		0.685
brioche				positive		0.043
brique				negative		-0.73
briquette			positive		0.06
brisk				positive		0.822
brisk_pace			positive		0.107
brisk_wind			negative		-0.85
brisket				positive		0.08
briskly				negative		-0.73
briskness			positive		0.338
bristle				negative		-0.02
bristle_brush			positive		0.068
bristled			negative		-0.73
bristled_at			negative		-0.02
bristlegrass			positive		0.086
bristletail			negative		-0.89
bristly				negative		-0.80
bristly_hair			negative		-0.68
bristol_aeroplane_company	negative		-0.81
bristol_fighter			negative		-0.81
brit				positive		0.035
brita_water			positive		0.069
britain				positive		0.624
britannica			positive		0.072
britannicas			positive		0.072
british_actress_thandie		negative		-0.67
british_afro_pop		positive		0.769
british_aristocrat		positive		0.083
british_artist_damien		positive		0.038
british_battleship		negative		-0.07
british_biochemist		positive		0.639
british_blue_ensign		positive		0.032
british_electropop_band		positive		0.034
british_expat			positive		0.035
british_expatriate		positive		0.035
british_frigate_hm		negative		-0.08
british_hereditary_peer		positive		0.083
british_horror_film		negative		-0.81
british_light_middleweight	positive		0.793
british_mountaineer		positive		0.562
british_nationality		positive		0.903
british_naturalist_charles	positive		0.054
british_naval_officer		positive		0.824
british_ornithologist_club	positive		0.943
british_physiologist		positive		0.639
british_ship_hm			negative		-0.08
british_sloop			negative		-0.08
british_sport_shooter		negative		-0.83
british_tabloid			positive		0.978
briton				positive		0.06
britovi				positive		0.784
britt_ekland			positive		0.611
brittanica			positive		0.072
brittle				positive		0.786
brittle_bone			negative		-0.07
brittle_book			negative		-0.94
brittle_failure			negative		-0.62
brittle_hair			positive		0.027
brittle_nail			positive		0.027
brittle_star			negative		-0.78
brittlegill			negative		-0.55
brittney_chamber		negative		-0.28
brixton_prison			negative		-0.88
brno_conservatory		positive		0.557
bro				positive		0.096
broacher			positive		0.849
broad				positive		0.051
broad-ranging			positive		0.883
broad-shouldered		positive		0.847
broad_array			positive		0.105
broad_bean			negative		-0.02
broad_brimmed_hat		positive		0.063
broad_definition		positive		0.943
broad_discretion		negative		-0.66
broad_forehead			positive		0.258
broad_latitude			negative		-0.66
broad_leaved_centaury		negative		-0.72
broad_leaved_woodland		negative		-0.74
broad_leeway			negative		-0.66
broad_overview			positive		0.664
broad_perspective		positive		0.051
broad_range			positive		0.105
broad_scope			positive		0.051
broad_shoulder			positive		0.118
broad_shouldered_man		positive		0.118
broad_spectrum			positive		0.105
broadband_internet_connection	negative		-0.04
broadband_noise			negative		-0.80
broadcast			positive		0.071
broadcast_nationally		positive		0.045
